,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived_prediction
0,3,1,34.5,0,0,7.8292,1,0
1,3,0,47.0,1,0,7.0,2,0
2,2,1,62.0,0,0,9.6875,1,0
3,3,1,27.0,0,0,8.6625,2,0
4,3,0,22.0,1,1,12.2875,2,1
5,3,1,14.0,0,0,9.225,2,0
6,3,0,30.0,0,0,7.6292,1,1
7,2,1,26.0,1,1,29.0,2,0
8,3,0,18.0,0,0,7.2292,0,1
9,3,1,21.0,2,0,24.15,2,0
10,3,1,29.69911764705882,0,0,7.8958,2,0
11,1,1,46.0,0,0,26.0,2,0
12,1,0,23.0,1,0,82.2667,2,1
13,2,1,63.0,1,0,26.0,2,0
14,1,0,47.0,1,0,61.175,2,1
15,2,0,24.0,1,0,27.7208,0,0
16,2,1,35.0,0,0,12.35,1,0
17,3,1,21.0,0,0,7.225,0,0
18,3,0,27.0,1,0,7.925,2,1
19,3,0,45.0,0,0,7.225,0,0
20,1,1,55.0,1,0,59.4,0,0
21,3,1,9.0,0,1,3.1708,2,1
22,1,0,29.69911764705882,0,0,31.6833,2,1
23,1,1,21.0,0,1,61.3792,0,0
24,1,0,48.0,1,3,262.375,0,1
25,3,1,50.0,1,0,14.5,2,0
26,1,0,22.0,0,1,61.9792,0,1
27,3,1,22.5,0,0,7.225,0,0
28,1,1,41.0,0,0,30.5,2,1
29,3,1,29.69911764705882,2,0,21.6792,0,0
30,2,1,50.0,1,0,26.0,2,0
31,2,1,24.0,2,0,31.5,2,0
32,3,0,33.0,1,2,20.575,2,1
33,3,0,29.69911764705882,1,2,23.45,2,1
34,1,1,30.0,1,0,57.75,0,0
35,3,1,18.5,0,0,7.2292,0,0
36,3,0,29.69911764705882,0,0,8.05,2,1
37,3,0,21.0,0,0,8.6625,2,1
38,3,1,25.0,0,0,9.5,2,0
39,3,1,29.69911764705882,0,0,56.4958,2,0
40,3,1,39.0,0,1,13.4167,0,1
41,1,1,29.69911764705882,0,0,26.55,2,0
42,3,1,41.0,0,0,7.85,2,0
43,2,0,30.0,0,0,13.0,2,1
44,1,0,45.0,1,0,52.5542,2,1
45,3,1,25.0,0,0,7.925,2,0
46,1,1,45.0,0,0,29.7,0,1
47,3,1,29.69911764705882,0,0,7.75,1,0
48,1,0,60.0,0,0,76.2917,0,1
49,3,0,36.0,0,2,15.9,2,1
50,1,1,24.0,1,0,60.0,2,1
51,2,1,27.0,0,0,15.0333,0,1
52,2,0,20.0,2,1,23.0,2,1
53,1,0,28.0,3,2,263.0,2,1
54,2,1,29.69911764705882,0,0,15.5792,0,1
55,3,1,10.0,4,1,29.125,1,0
56,3,1,35.0,0,0,7.8958,2,0
57,3,1,25.0,0,0,7.65,2,0
58,3,1,29.69911764705882,1,0,16.1,2,0
59,1,0,36.0,0,0,262.375,0,1
60,3,1,17.0,0,0,7.8958,2,0
61,2,1,32.0,0,0,13.5,2,0
62,3,1,18.0,0,0,7.75,2,0
63,3,0,22.0,0,0,7.725,1,1
64,1,1,13.0,2,2,262.375,0,0
65,2,0,29.69911764705882,0,0,21.0,2,1
66,3,0,18.0,0,0,7.8792,1,1
67,1,1,47.0,0,0,42.4,2,0
